Title,Acronym,DblpSeries,has CORE2026 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3,has CORE2023 Rank,has CORE2021 Rank,has CORE2020 Rank,has CORE2018 Rank,has CORE2017 Rank,has CORE2014 Rank,has CORE2013 Rank,has CORE2010 Rank,has CORE2008 Rank
Network and Operating System Support for Digital Audio and Video,NOSSDAV,nossdav,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,B,B,A,A,A,A,A,A,A
Network for Comfort and Energy Use in Buildings Windsor Conference,Windsor,,,"Building†, , ",Building†,,,,,,,,,,A,
Networked Group Communication,NGC,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,,,,,C,
New Security Paradigms Workshop,NSPW,nspw,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,C,C,C,C,C,C,C,C,
New Technologies Mobility and Security,NTMS,ntms,,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,,C,,,,,,,
New Zealand Game Developers Conference,NZGDC,,Australasian C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,Australasian C,Australasian C,Australasian C,C,C,C,C,C,
Nordic Conference on Human-Computer Interaction,NordiCHI,nordichi,Regional:Scandinavia,"Human-centred computing, , ",Human-centred computing,,,Regional:Scandinavia,Regional:Scandinavia,,,,,,,
Nordic Conference on Pattern Languages of Programs,VikingPLoP,,,"Computer Software†, , ",Computer Software†,,,,,,,,,,C,
Nordic Design Research Conference,NORDES,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,B,
Nordic Workshop on Secure IT Systems,NordSec,,,"Computer Software†, , ",Computer Software†,,,,,,,,,,C,L
North American Association for Computational Linguistics,NAACL,naacl,A,"Artificial intelligence, , ",Artificial intelligence,,,A,A,A,A,A,A,A,A,A
North American Conference on Logic Programming,NACLP,,,"Computer Software†, , ",Computer Software†,,,,,,,,,,C,
North American Fuzzy Information Processing Society Conference,NAFIPS,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,,,C,C
Norwegian Computer Human Interaction,NORDCHI,,,"Information Systems†, , ",Information Systems†,,,,,,,,,,C,B
Numerical Models in Geomechanics,NUMOG,,,"Civil Engineering†, , ",Civil Engineering†,,,,,,,,,,A,
On-Line Testing and Robust System Design,IOLTS,iolts,C,"CSE - Computer Systems Engineering, Software engineering, ",CSE - Computer Systems Engineering,Software engineering,,C,C,C,C,C,C,C,C,
Open and Distance Learning Association of Australia Bienniel Forum,ODLA,,,", , ",,,,,,,Australasian,Australasian,Australasian,Australasian,,L
Optimal Discrete Structures and Algorithms,ODSA,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Optimization: Techniques And Applications,OTA,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,C
Organisations and Society in Information Systems Workshop,OASIS,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,C
PACES & ICIL,P&I,,,", , ",,,,,,,C,C,C,C,,C
Pacific Asia Conference on Information Systems,PACIS,,,"Information Systems†, , ",Information Systems†,,,,,,A,A,A,A,A,B
"Pacific Asia Conference on Language, Information and Computation",PACLIC,paclic,C,"Artificial intelligence, , ",Artificial intelligence,,,C,B,B,B,B,B,B,B,B
Pacific Asian Conference on Expert Systems,PACES,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,B,B,B,B,B,B
Pacific Conference on Computer Graphics and Applications,PG,pg,Journal Published,"Graphics, augmented reality and games, Computer vision and multimedia computation, ","Graphics, augmented reality and games",Computer vision and multimedia computation,,Journal Published,Journal Published,A,A,A,A,A,A,A
Pacific Rim International Conference on Artificial Intelligence,PRICAI,pricai,B,"Artificial intelligence, , ",Artificial intelligence,,,B,B,B,B,B,B,B,B,B
Pacific Rim International Symposium on Dependable Computing,PRDC,prdc,C,"Software engineering, Distributed computing and systems software, Cybersecurity and privacy",Software engineering,Distributed computing and systems software,Cybersecurity and privacy,C,B,B,B,B,B,B,B,
Pacific Rim Knowledge Acquisition Workshop,PKAW,pkaw,C,"Artificial intelligence, Machine learning, Human-centred computing",Artificial intelligence,Machine learning,Human-centred computing,C,B,B,B,B,B,B,B,B
