Title,Acronym,DblpSeries,has CORE2023 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3
Conference on Security and Cryptography for Networks,SCN,scn,National: Italy,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,csee,C,"Human-centred computing, , ",Human-centred computing,,
Conference on Software in Telecommunications and Computer Networks,SOFTCOM,softcom,National: Croatia,"Distributed computing and systems software, , ",Distributed computing and systems software,,
Conference on Theory and Applications of Models of Computation,TAMC,tamc,C,"Theory of computation, , ",Theory of computation,,
Conference on Visualization and Data Analysis,VDA,vda,National: USA,"Human-centred computing, , ",Human-centred computing,,
"Cooperative Design, Visualization, and Engineering",CDVE,cdve,C,"Human-centred computing, , ",Human-centred computing,,
Cryptographers Track at RSA Conference,CT-RSA,ctrsa,B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Current Trends in Theory and Practice of Computer Science,SOFSEM,sofsem,B,"Information and Computing Sciences, , ",Information and Computing Sciences,,
Data Compression Conference,DCC,dcc,B,"Data management and data science, , ",Data management and data science,,
Data Warehousing and Knowledge Discovery,DaWaK,dawak,B,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,
"Datenbanksysteme für Business, Technologie und Web",BTW,btw,National:Germany,"Data management and data science, , ",Data management and data science,,
Design Automation Conf,DAC,dac,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
"Design, Automation and Test in Europe Conference",DATE,date,B,"CSE - Computer Systems Engineering, Software engineering, ",CSE - Computer Systems Engineering,Software engineering,
Designing Interactive Systems,DIS,ACMdis,A,"Human-centred computing, , ",Human-centred computing,,
Developments in eSystems Engineering,DeSE,dese,C,"Information and Computing Sciences, , ",Information and Computing Sciences,,
Developments in Language Theory,DLT,dlt,C,"Theory of computation, , ",Theory of computation,,
Digital Audio Effects Conference,DAFX,dafx,C,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
Digital Games Research Conference,DIGRA,digra,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
Digital Image Computing Techniques and Applications,DICTA,dicta,Australasian C,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
Discovery Science,DS,dis,B,"Machine learning, Artificial intelligence, Applied computing",Machine learning,Artificial intelligence,Applied computing
DNA Computing and Molecular Programming,DNA,dna,B,"Applied computing, , ",Applied computing,,
Dynamic Languages Symposium,DLS,dls,C,"Software engineering, , ",Software engineering,,
Educational Data Mining,EDM,edm,B,"Applied computing, , ",Applied computing,,
"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,emas,B,"Artificial intelligence, , ",Artificial intelligence,,
Empirical Methods in Natural Language Processing,EMNLP,emnlp,A*,"Artificial intelligence, , ",Artificial intelligence,,
Engineering Interactive Computing Systems,EICS,eics,Journal Published,"Human-centred computing, Software engineering, ",Human-centred computing,Software engineering,
ETHICOMP Conference,ETHICOMP,N/A,C,"Human-centred computing, , ",Human-centred computing,,
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,eatis,C,"Distributed computing and systems software, Human-centred computing, ",Distributed computing and systems software,Human-centred computing,
Euro XR International Conference (was Euro VR),Euro XR,eurovr,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,N/A,C,"Theory of computation, , ",Theory of computation,,
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,egpgv,C,"Graphics, augmented reality and games, Computer vision and multimedia computation, ","Graphics, augmented reality and games",Computer vision and multimedia computation,
Eurographics/IEEE Symposium on Visualization,EuroVis,vissym,B,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
Euromicro Conference on Real-Time Systems,ECRTS,ecrts,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
Euromicro Conference on Software Engineering and Advanced Applications,SEAA,euromicro,B,"Software engineering, Applied computing, ",Software engineering,Applied computing,
"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP,pdp,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
European Association for Computational Linguistics,EACL,eacl,A,"Artificial intelligence, , ",Artificial intelligence,,
European Chapter on Combinatorial Optimization,ECCO,N/A,C,"Theory of computation, , ",Theory of computation,,
